Wall time,Step,Value
1542189515.93078,547,1.4354733139043674e-05
1542189516.5101354,548,1.3936672075942624e-05
1542189517.115799,549,1.3944474630989134e-05
1542189517.7120621,550,1.3432227206067182e-05
1542189518.3062286,551,1.5240742868627422e-05
1542189518.908531,552,1.353694278805051e-05
1542189519.505905,553,1.3746498552791309e-05
1542189520.1003847,554,1.4141938663669862e-05
1542189520.720043,555,1.4221268429537304e-05
1542189521.3388734,556,1.354310916212853e-05
1542189521.949572,557,1.4037892469787039e-05
1542189522.562527,558,1.4558872862835415e-05
1542189523.1106243,559,1.4850777915853541e-05
1542189523.695977,560,1.4740291589987464e-05
1542189524.2930903,561,1.3553221833717544e-05
1542189524.8847616,562,1.3465790289046708e-05
1542189525.4700255,563,1.4179505342326593e-05
1542189526.057785,564,1.3848868547938764e-05
1542189526.6482296,565,1.3870927432435565e-05
1542189527.2421284,566,1.4159503734845202e-05
1542189527.8405478,567,1.3917287105869036e-05
1542189528.451841,568,1.3679349649464712e-05
1542189529.085164,569,1.4098131032369565e-05
1542189529.700127,570,1.3661728189617861e-05
1542189530.2750847,571,1.3787407624477055e-05
1542189530.8854744,572,1.4044241652300116e-05
1542189531.495772,573,1.467135371058248e-05
1542189532.120372,574,1.4039921552466694e-05
1542189532.7159119,575,1.3703252079722006e-05
1542189533.2988455,576,1.3893596587877255e-05
1542189533.8991425,577,1.4037263099453412e-05
1542189534.502865,578,1.3960177057015244e-05
1542189535.1055658,579,1.3994736946187913e-05
1542189535.6980834,580,1.4001596355228685e-05
1542189536.3355203,581,1.3452042367134709e-05
1542189536.8862665,582,1.4256340364227071e-05
1542189537.5470433,583,1.4499251847155392e-05
1542189538.3089657,584,1.3658252100867685e-05
1542189539.020507,585,1.4205213119566906e-05
1542189539.721026,586,1.348439764115028e-05
1542189540.4014301,587,1.3638076779898256e-05
1542189541.0133207,588,1.3922636753704865e-05
1542189541.7104893,589,1.3780363588011824e-05
1542189542.7373555,590,1.3774181752523873e-05
1542189543.3224895,591,1.4061011825106107e-05
1542189543.89925,592,1.4551214007951785e-05
1542189544.504932,593,1.4015715350979008e-05
1542189545.1244762,594,1.3668636711372528e-05
1542189545.7637882,595,1.3730515092902351e-05
1542189546.3723316,596,1.4102956811257172e-05
1542189546.989387,597,1.4175186151987873e-05
1542189547.6048336,598,1.440305459254887e-05
1542189548.269105,599,1.3945563296147157e-05
1542189548.8997142,600,1.3486846000887454e-05
1542189549.5809488,601,1.3497869986167643e-05
1542189550.281279,602,1.3673899957211688e-05
1542189551.0539536,603,1.3918672266299836e-05
1542189551.7278018,604,1.346610952168703e-05
1542189552.4249518,605,1.4474872841674369e-05
1542189553.0967808,606,1.3946162653155625e-05
1542189553.7922091,607,1.3842419321008492e-05
1542189554.4855719,608,1.394248738506576e-05
1542189555.1126409,609,1.3906817912356928e-05
1542189555.6771102,610,1.375290685246e-05
1542189556.2650857,611,1.3804416994389612e-05
1542189556.856439,612,1.3600376405520365e-05
1542189557.5809596,613,1.4107652532402426e-05
1542189558.2519665,614,1.3657461749971844e-05
1542189559.0175908,615,1.4225915037968662e-05
1542189559.702799,616,1.4133107470115647e-05
1542189560.3736148,617,1.4225753147911746e-05
1542189561.0199223,618,1.4534773072227836e-05
1542189561.6680996,619,1.3879221114621032e-05
1542189562.3161745,620,1.4209397704689763e-05
1542189562.9659486,621,1.3589726222562604e-05
1542189563.6159425,622,1.4074060345592443e-05
1542189564.2625644,623,1.3677792594535276e-05
1542189564.9085135,624,1.3967486665933393e-05
1542189565.5548007,625,1.417972998751793e-05
1542189566.244566,626,1.393774709868012e-05
1542189566.8918884,627,1.3811897588311695e-05
1542189567.5381806,628,1.3728805242863018e-05
1542189568.1852543,629,1.3821289030602202e-05
1542189568.8311017,630,1.3998487702338025e-05
1542189569.4767559,631,1.3448053323372733e-05
1542189570.120113,632,1.373432587570278e-05
1542189570.7683365,633,1.3977851267554797e-05
1542189571.422094,634,1.4019848094903864e-05
1542189572.067754,635,1.4018326510267798e-05
1542189572.7118864,636,1.3725606549996883e-05
1542189573.3613744,637,1.3608456356450915e-05
1542189574.0088305,638,1.3854913049726747e-05
1542189574.65478,639,1.3562165804614779e-05
1542189575.305082,640,1.3918349395680707e-05
1542189575.9554148,641,1.399358643539017e-05
1542189576.6067603,642,1.3942361874796916e-05
1542189577.2519417,643,1.33782696138951e-05
1542189577.9016144,644,1.381840502290288e-05
1542189578.5527818,645,1.413437621522462e-05
1542189579.2010288,646,1.4020132766745519e-05
1542189579.8458974,647,1.4110471965977922e-05
1542189580.4916003,648,1.4454265510721598e-05
1542189581.1402335,649,1.36969902087003e-05
1542189581.7923944,650,1.3774060789728537e-05
1542189582.437434,651,1.3365451195568312e-05
1542189583.0336688,652,1.3651695553562604e-05
1542189583.5885124,653,1.386056737828767e-05
1542189584.146661,654,1.4017317880643532e-05
1542189584.7041194,655,1.3581076018454041e-05
1542189585.2583218,656,1.3858795682608616e-05
